                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.0897,                0.50869,                 1.0294,                0.95287,                 0.9227,                0.97703,                0.64554,                  1.132,                0.51018,                 1.1748,             0.00080653,             0.00080653,             0.00080653
                     46,                  1.049,                0.50974,                 1.0296,                0.94748,                0.93201,                0.97912,                 0.6477,                 1.1538,                0.50762,                 1.1887,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.0244,                0.49134,                 1.0236,                0.93573,                0.94703,                 0.9808,                0.68588,                 1.0743,                 0.4785,                 1.1131,             0.00077823,             0.00077823,             0.00077823
                     48,                0.96874,                 0.4741,                 1.0022,                0.95249,                0.93018,                0.97946,                0.68277,                 1.0528,                0.48474,                 1.1131,             0.00076409,             0.00076409,             0.00076409
                     49,                 1.0309,                0.49317,                0.99301,                0.94876,                0.93341,                0.96215,                0.66926,                 1.0838,                0.48215,                 1.1423,             0.00074994,             0.00074994,             0.00074994
                     50,                 1.0376,                0.49336,                 1.0253,                0.95447,                0.92997,                0.96886,                0.67654,                 1.0564,                0.47815,                 1.1234,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.0656,                0.49545,                 1.0349,                 0.9482,                0.93501,                0.96468,                0.67852,                 1.0974,                0.49541,                 1.1401,             0.00072164,             0.00072164,             0.00072164
                     52,                0.95266,                0.46036,                0.98964,                 0.9444,                0.93501,                0.96272,                0.67105,                 1.1152,                0.49823,                 1.1524,              0.0007075,              0.0007075,              0.0007075
                     53,                0.91466,                0.44703,                 1.0099,                 0.9591,                0.92853,                0.96665,                0.68426,                 1.1354,                0.49011,                 1.1414,             0.00069335,             0.00069335,             0.00069335
                     54,                0.95929,                 0.4706,                0.98821,                0.94467,                0.94937,                0.96919,                0.68528,                 1.1174,                0.47947,                 1.1422,              0.0006792,              0.0006792,              0.0006792
                     55,                0.98705,                0.48194,                 1.0051,                0.96701,                0.91986,                0.97055,                0.67308,                 1.1181,                0.47867,                 1.1627,             0.00066506,             0.00066506,             0.00066506
                     56,                0.95767,                0.46412,                 0.9888,                0.96782,                0.92143,                0.97856,                 0.6783,                 1.1098,                 0.4718,                 1.1494,             0.00065091,             0.00065091,             0.00065091
                     57,                0.94758,                0.46143,                 1.0068,                0.97801,                0.92491,                0.97699,                0.66911,                 1.1077,                0.47058,                 1.1568,             0.00063676,             0.00063676,             0.00063676
                     58,                0.96086,                0.45623,                0.99509,                0.97463,                0.92733,                0.96886,                0.66913,                 1.1119,                0.47406,                 1.1572,             0.00062262,             0.00062262,             0.00062262
                     59,                0.95299,                0.46091,                0.99681,                0.97545,                  0.926,                0.96697,                0.66852,                  1.088,                0.48187,                 1.1383,             0.00060847,             0.00060847,             0.00060847
                     60,                 0.9441,                0.45653,                 1.0175,                  0.973,                  0.926,                0.96681,                0.66977,                 1.0963,                 0.4822,                 1.1517,             0.00059432,             0.00059432,             0.00059432
                     61,                0.96387,                0.45961,                0.99834,                0.94764,                0.94301,                0.96903,                0.67789,                 1.0944,                0.45505,                 1.1482,             0.00058017,             0.00058017,             0.00058017
                     62,                 0.9294,                0.44638,                0.99678,                0.94873,                0.94273,                0.96881,                0.67556,                 1.0799,                0.45974,                 1.1372,             0.00056603,             0.00056603,             0.00056603
                     63,                0.95385,                0.45453,                0.95674,                0.95895,                0.91066,                0.96784,                0.68358,                 1.0476,                0.45056,                 1.1142,             0.00055188,             0.00055188,             0.00055188
                     64,                 0.9044,                0.44279,                0.96711,                0.93728,                0.93984,                0.96931,                0.67855,                 1.0526,                0.45346,                 1.1178,             0.00053773,             0.00053773,             0.00053773
                     65,                0.92591,                0.44786,                0.96614,                0.94564,                0.94515,                0.96481,                0.66273,                 1.0887,                0.45476,                 1.1393,             0.00052359,             0.00052359,             0.00052359
                     66,                0.86205,                0.43068,                 0.9616,                0.94808,                0.94597,                0.96492,                0.66235,                 1.0914,                0.45428,                 1.1475,             0.00050944,             0.00050944,             0.00050944
                     67,                0.86761,                0.43067,                0.95928,                0.95067,                0.94291,                0.97266,                0.66776,                 1.0909,                0.45804,                  1.137,             0.00049529,             0.00049529,             0.00049529
                     68,                0.90295,                0.43785,                0.97607,                0.94858,                0.94461,                0.97447,                0.66877,                 1.0894,                0.46717,                  1.139,             0.00048114,             0.00048114,             0.00048114
                     69,                0.88867,                0.44353,                0.94778,                0.94326,                0.94973,                0.97589,                0.66595,                 1.1322,                0.47057,                 1.1704,               0.000467,               0.000467,               0.000467
                     70,                0.87256,                0.43579,                0.93908,                0.93807,                0.94407,                0.97508,                0.66414,                 1.1406,                0.47297,                 1.1753,             0.00045285,             0.00045285,             0.00045285
                     71,                0.85946,                  0.431,                0.95774,                0.93715,                0.95337,                0.97641,                 0.6673,                  1.132,                0.46806,                 1.1691,              0.0004387,              0.0004387,              0.0004387
                     72,                0.90866,                0.43647,                0.97024,                0.94173,                0.94129,                0.96682,                0.66028,                 1.1342,                0.47412,                 1.1799,             0.00042456,             0.00042456,             0.00042456
